metier;min_vel_kn;max_vel_kn;min_depth_mt;max_depth_mt;harb_dist_nmi
DRB_MOL_0_0_0;1;3;0;-Inf;3
FPO_DES_0_0_0;0;2;0;-Inf;3
GND_SPF_0_0_0;0;2;0;-Inf;3
GNS_SLP_>=16_0_0;0;2;0;-Inf;3
GTR_DES_>=16_0_0;0;2;0;-Inf;3
LA_SLP_>=14_0_0;2;6;-20;-800;3
LLD_LPF_0_0_0;3;6;0;-Inf;3
LLS_DEF_0_0_0;3;6;0;-Inf;3
OTB_DES_>=40_0_0;1.5;4;-20;-800;3
OTB_DWS_>=40_0_0;1.5;4;-20;-800;3
OTB_MDD_>=40_0_0;1.5;4;-20;-800;3
OTM_MPD_>=20_0_0;2;6;-20;-800;3
PS_LPF_0_0_0;0;2;0;-Inf;3
PS_SPF_>=14_0_0;0;2;0;-Inf;3
PTB_DES_0_0_0;4;7;0;-Inf;3
PTM_SPF_>=20_0_0;3;6;-20;-800;3
TBB_DES_0_0_0;1.5;3.5;-20;-800;3
