"LAU","Petromyzon marinus"
"LAR","Lampetra fluviatilis"
"IDK","Lampetra aepyptera"
"IDL","Lampetra ayresii"
"IDN","Lampetra planeri"
"IDO","Lampetra richardsoni"
"IKQ","Lampetra lanceolata"
"IKR","Lampetra pacifica"
"LAY","Ichthyomyzon unicuspis"
"IDE","Ichthyomyzon bdellium"
"IDG","Ichthyomyzon castaneus"
"IDH","Ichthyomyzon fossor"
"IDI","Ichthyomyzon gagei"
"IDJ","Ichthyomyzon greeleyi"
"LAF","Eudontomyzon mariae"
"ICJ","Eudontomyzon danfordi"
"IKG","Eudontomyzon graecus"
"IKJ","Eudontomyzon hellenicus"
"IKL","Eudontomyzon morii"
"LAW","Caspiomyzon wagneri"
"LSZ","Lethenteron camtschaticum"
"IDQ","Lethenteron kessleri"
"IDT","Lethenteron ninae"
"IDU","Lethenteron reissneri"
"IDV","Lethenteron zanandreai"
"IKT","Lethenteron alaskense"
"IKU","Lethenteron appendix"
"LAO","Entosphenus tridentatus"
"IJX","Entosphenus folletti"
"IJY","Entosphenus hubbsi"
"IJZ","Entosphenus lethophagus"
"IKD","Entosphenus macrostomus"
"IKE","Entosphenus minimus"
"IKF","Entosphenus similis"
"IKV","Tetrapleurodon geminis"
"IKW","Tetrapleurodon spadiceus"
"LAS","Petromyzontidae"
"ICE","Mordacia lapicida"
"ICF","Mordacia praecox"
"LAK","Mordacia mordax"
"LAE","Geotria australis"
"MYP","Paramyxine atami"
"MYG","Myxine glutinosa"
"MYE","Nemamyxine elongata"
"MYB","Eptatretus burgeri"
"MYU","Eptatretus stoutii"
"MWC","Eptatretus cirrhatus"
"MYX","Myxinidae"
"HEF","Heterodontus francisci"
"HEG","Heterodontus galeatus"
"HEJ","Heterodontus japonicus"
"HEM","Heterodontus mexicanus"
"HEK","Heterodontus portusjacksoni"
"HEQ","Heterodontus quoyi"
"HEA","Heterodontus ramalheira"
"HEZ","Heterodontus zebra"
"HDQ","Heterodontiformes"
"HXC","Chlamydoselachus anguineus"
"HWR","Chlamydoselachus africana"
"SBL","Hexanchus griseus"
"HXN","Hexanchus nakamurai"
"HXT","Heptranchias perlo"
"NTC","Notorynchus cepedianus"
"HXW","Hexanchiformes"
"BSK","Cetorhinus maximus"
"CCT","Carcharias taurus"
"LOU","Carcharias tricuspidatus"
"LOO","Odontaspis ferox"
"ODH","Odontaspis noronhai"
"LMO","Mitsukurina owstoni"
"PSK","Pseudocarcharias kamoharai"
"LMP","Megachasma pelagios"
"ALV","Alopias vulpinus"
"PTH","Alopias pelagicus"
"BTH","Alopias superciliosus"
"THR","Alopias spp"
"SMA","Isurus oxyrinchus"
"LMA","Isurus paucus"
"MAK","Isurus spp"
"POR","Lamna nasus"
"LMD","Lamna ditropis"
"WSH","Carcharodon carcharias"
"MSK","Lamnidae"
"LMZ","Lamniformes"
"OSF","Stegostoma fasciatum"
"ORE","Eucrossorhinus dasypogon"
"ORJ","Orectolobus japonicus"
"ORT","Orectolobus maculatus"
"ORO","Orectolobus ornatus"
"ORV","Orectolobus wardi"
"ORS","Sutorectus tentaculatus"
"GNC","Ginglymostoma cirratum"
"ORX","Ginglymostoma brevicaudatum"
"GNG","Ginglymostoma spp"
"ORZ","Nebrius ferrugineus"
"ORF","Hemiscyllium freycineti"
"ORK","Hemiscyllium hallstromi"
"ORN","Hemiscyllium ocellatum"
"ORQ","Hemiscyllium strahani"
"ORW","Hemiscyllium trispeculare"
"ORA","Chiloscyllium arabicum"
"ORP","Chiloscyllium caerulopunctatum"
"ORR","Chiloscyllium griseum"
"ORI","Chiloscyllium indicum"
"ORH","Chiloscyllium plagiosum"
"ORB","Chiloscyllium punctatum"
"KYL","Chiloscyllium burmensis"
"YYL","Chiloscyllium hasselti"
"OQX","Chiloscyllium spp"
"RHN","Rhincodon typus"
"OBW","Brachaelurus waddi"
"OBH","Heteroscyllium colcloughi"
"OPC","Cirrhoscyllium expolitum"
"OPF","Cirrhoscyllium formosanum"
"OPJ","Cirrhoscyllium japonicum"
"OPY","Parascyllium collare"
"OPE","Parascyllium ferrugineum"
"OPV","Parascyllium variolatum"
"OCX","Orectolobiformes"
"GAA","Galeus arae"
"GAB","Galeus boardmani"
"GAE","Galeus eastmani"
"SHO","Galeus melastomus"
"GAO","Galeus longirostris"
"GAM","Galeus murinus"
"GAN","Galeus nipponensis"
"GAP","Galeus piperatus"
"GAQ","Galeus polli"
"GAI","Galeus sauteri"
"GAH","Galeus schultzi"
"GHA","Galeus atlanticus"
"GAU","Galeus spp"
"SYC","Scyliorhinus canicula"
"SYT","Scyliorhinus stellaris"
"SYB","Scyliorhinus besnardi"
"SYA","Scyliorhinus boa"
"SYP","Scyliorhinus capensis"
"SYE","Scyliorhinus cervigoni"
"SYG","Scyliorhinus garmani"
"SYH","Scyliorhinus haeckelii"
"SYU","Scyliorhinus hesperius"
"SYM","Scyliorhinus meadi"
"SYF","Scyliorhinus retifer"
"SYK","Scyliorhinus tokubee"
"SYZ","Scyliorhinus torazame"
"SYI","Scyliorhinus torrei"
"SCL","Scyliorhinus spp"
"SHV","Schroederichthys bivius"
"SHY","Schroederichthys chilensis"
"SHU","Schroederichthys maculatus"
"SHN","Schroederichthys tenuis"
"ASY","Asymbolus analis"
"ASV","Asymbolus vincenti"
"AXM","Asymbolus spp"
"ATM","Atelomycterus macleayi"
"ATY","Atelomycterus marmoratus"
"HPE","Haploblepharus edwardsii"
"HPF","Haploblepharus fuscus"
"HPP","Haploblepharus pictus"
"HOP","Holohalaelurus punctatus"
"HOR","Holohalaelurus regani"
"PAH","Parmaturus campechiensis"
"PAE","Parmaturus macmillani"
"PAV","Parmaturus melanobranchius"
"PAW","Parmaturus pilosus"
"PAY","Parmaturus xaniurus"
"CSA","Apristurus acanutus"
"CSU","Apristurus atlanticus"
"CSN","Apristurus brunneus"
"CSQ","Apristurus canutus"
"CSG","Apristurus gibbosus"
"CSW","Apristurus herklotsi"
"APD","Apristurus indicus"
"APV","Apristurus investigatoris"
"CSJ","Apristurus japonicus"
"CSZ","Apristurus kampae"
"APQ","Apristurus laurussonii"
"CSF","Apristurus longicephalus"
"CSX","Apristurus macrorhynchus"
"APM","Apristurus macrostomus"
"APF","Apristurus maderensis"
"APA","Apristurus manis"
"APX","Apristurus microps"
"APY","Apristurus micropterygeus"
"APW","Apristurus nasutus"
"APK","Apristurus parvipinnis"
"APZ","Apristurus platyrhynchus"
"APP","Apristurus profundorum"
"CSV","Apristurus riveri"
"APC","Apristurus saldanha"
"APJ","Apristurus sibogae"
"ASI","Apristurus sinensis"
"ASO","Apristurus spongiceps"
"ASE","Apristurus stenseni"
"ASW","Apristurus verweyi"
"API","Apristurus spp"
"AUK","Aulohalaelurus kanakorum"
"AUL","Aulohalaelurus labiosus"
"HAA","Halaelurus alcocki"
"HAB","Halaelurus boesemani"
"HAE","Halaelurus buergeri"
"HAN","Halaelurus canescens"
"HAO","Halaelurus dawsoni"
"HAH","Halaelurus hispidus"
"HAV","Halaelurus immaculatus"
"HAY","Halaelurus lineatus"
"HAG","Halaelurus lutarius"
"HAK","Halaelurus natalensis"
"HAQ","Halaelurus quagga"
"PEU","Pentanchus profundicolus"
"CPF","Cephaloscyllium fasciatum"
"CPS","Cephaloscyllium isabellum"
"CPT","Cephaloscyllium laticeps"
"CPN","Cephaloscyllium nascione"
"CPA","Cephaloscyllium silasi"
"CPH","Cephaloscyllium sufflans"
"CPB","Cephaloscyllium umbratile"
"CPV","Cephaloscyllium ventriosum"
"CPC","Cephalurus cephalus"
"POU","Poroderma africanum"
"POE","Poroderma marleyi"
"POH","Poroderma pantherinum"
"SYX","Scyliorhinidae"
"BSH","Prionace glauca"
"CIO","Isogomphodon oxyrhynchus"
"LMT","Lamiopsis temmincki"
"CNX","Nasolamia velox"
"CCP","Carcharhinus plumbeus"
"CCY","Carcharhinus amblyrhynchoides"
"CCL","Carcharhinus limbatus"
"BLR","Carcharhinus melanopterus"
"AML","Carcharhinus amblyrhynchos"
"CCF","Carcharhinus amboinensis"
"CCX","Carcharhinus borneensis"
"CCN","Carcharhinus acronotus"
"CCC","Carcharhinus cautus"
"OCS","Carcharhinus longimanus"
"CCR","Carcharhinus porosus"
"CCD","Carcharhinus dussumieri"
"CCZ","Carcharhinus fitzroyensis"
"DUS","Carcharhinus obscurus"
"FAL","Carcharhinus falciformis"
"CCE","Carcharhinus leucas"
"ALS","Carcharhinus albimarginatus"
"BRO","Carcharhinus brachyurus"
"CCB","Carcharhinus brevipinna"
"CCI","Carcharhinus sealei"
"CCS","Carcharhinus signatus"
"CCM","Carcharhinus macloti"
"CCO","Carcharhinus isodon"
"CCA","Carcharhinus altimus"
"CCG","Carcharhinus galapagensis"
"CCK","Carcharhinus hemiodon"
"CCJ","Carcharhinus leiodon"
"CCV","Carcharhinus perezi"
"CCQ","Carcharhinus sorrah"
"CCU","Carcharhinus tilstoni"
"CCW","Carcharhinus wheeleri"
"CWZ","Carcharhinus spp"
"TIG","Galeocerdo cuvier"
"SLA","Scoliodon laticaudus"
"TRB","Triaenodon obesus"
"NGB","Negaprion brevirostris"
"NGA","Negaprion acutidens"
"CLD","Loxodon macrorhinus"
"CGA","Glyphis gangeticus"
"CGG","Glyphis glyphis"
"RHT","Rhizoprionodon terraenovae"
"RHA","Rhizoprionodon acutus"
"RHL","Rhizoprionodon lalandii"
"RHU","Rhizoprionodon longurio"
"RHX","Rhizoprionodon oligolinx"
"RHR","Rhizoprionodon porosus"
"RHY","Rhizoprionodon taylori"
"RHZ","Rhizoprionodon spp"
"RSK","Carcharhinidae"
"EUB","Eusphyra blochii"
"SPZ","Sphyrna zygaena"
"SSN","Sphyrna corona"
"SPV","Sphyrna couardi"
"SPL","Sphyrna lewini"
"SPE","Sphyrna media"
"SPQ","Sphyrna tudes"
"SPJ","Sphyrna tiburo"
"SPK","Sphyrna mokarran"
"SPN","Sphyrna spp"
"SPY","Sphyrnidae"
"CTU","Mustelus antarcticus"
"CTN","Mustelus californicus"
"CTI","Mustelus canis"
"CTD","Mustelus dorsalis"
"CTF","Mustelus fasciatus"
"CTE","Mustelus griseus"
"CTK","Mustelus henlei"
"CTJ","Mustelus higmani"
"MTL","Mustelus lenticulatus"
"MUU","Mustelus lunulatus"
"MTZ","Mustelus manazo"
"SDP","Mustelus schmitti"
"SMD","Mustelus mustelus"
"MTR","Mustelus norrisi"
"SDS","Mustelus asterias"
"MTE","Mustelus mento"
"MTM","Mustelus mosis"
"MUP","Mustelus palumbes"
